match_id,league,season,match_date,kickoff_time,home_team,away_team,fthg,ftag,ftr,hthg,htag,htr,attendance,referee,hs,as,hst,ast,hf,af,hc,ac,hy,ay,hr,ar,avg_h,avg_d,avg_a,max_h,max_d,max_a,avg_over25,avg_under25,max_over25,max_under25,closing_avg_h,closing_avg_d,closing_avg_a,data_snapshot_utc
EPL_20252026_2025-08-15_LIVERPOOL_BOURNEMOUTH,EPL,2025-2026,2025-08-15,20:00,Liverpool,Bournemouth,4,2,H,1,0,H,,A Taylor,19,10,10,3,7,10,6,7,1,2,0,0,1.31,5.96,8.31,1.34,6.5,9.5,1.35,3.13,1.38,3.3,1.29,6.02,8.68,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-16_ASTON_VILLA_NEWCASTLE,EPL,2025-2026,2025-08-16,12:30,Aston Villa,Newcastle,0,0,D,0,0,D,,C Pawson,3,16,3,3,13,11,3,6,1,1,1,0,2.3,3.56,2.94,2.38,3.75,3.1,1.61,2.25,1.65,2.33,2.38,3.41,2.93,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-16_BRIGHTON_FULHAM,EPL,2025-2026,2025-08-16,15:00,Brighton,Fulham,1,1,D,0,0,D,,S Barrott,10,7,4,2,16,15,4,3,3,3,0,0,1.92,3.62,3.91,1.95,3.75,4.0,1.71,2.08,1.74,2.15,1.83,3.64,4.26,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-16_SUNDERLAND_WEST_HAM,EPL,2025-2026,2025-08-16,15:00,Sunderland,West Ham,3,0,H,0,0,D,,R Jones,10,12,5,4,8,10,5,7,0,1,0,0,3.17,3.38,2.26,3.25,3.5,2.3,1.88,1.88,1.94,1.93,3.4,3.17,2.25,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-16_TOTTENHAM_BURNLEY,EPL,2025-2026,2025-08-16,15:00,Tottenham,Burnley,3,0,H,1,0,H,,M Oliver,16,14,6,4,14,8,6,5,0,0,0,0,1.37,4.8,8.3,1.4,5.0,9.5,1.66,2.16,1.73,2.3,1.55,4.01,6.16,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-16_WOLVES_MAN_CITY,EPL,2025-2026,2025-08-16,17:30,Wolves,Man City,0,4,A,0,2,A,,J Gillett,9,15,3,4,13,7,4,6,1,2,0,0,6.73,4.73,1.44,7.5,5.0,1.48,1.61,2.25,1.62,2.35,6.24,4.32,1.51,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-17_CHELSEA_CRYSTAL_PALACE,EPL,2025-2026,2025-08-17,14:00,Chelsea,Crystal Palace,0,0,D,0,0,D,,D England,19,12,3,4,10,12,11,2,2,3,0,0,1.61,4.21,5.08,1.64,4.35,5.5,1.63,2.22,1.67,2.3,1.82,3.72,4.26,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-17_NOTTM_FOREST_BRENTFORD,EPL,2025-2026,2025-08-17,14:00,Nott'm Forest,Brentford,3,1,H,3,0,H,,P Bankes,11,10,5,3,7,15,5,5,1,2,0,0,2.15,3.36,3.43,2.2,3.5,3.55,1.92,1.83,2.0,1.91,1.91,3.44,4.16,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-17_MAN_UNITED_ARSENAL,EPL,2025-2026,2025-08-17,16:30,Man United,Arsenal,0,1,A,0,1,A,,S Hooper,22,9,7,3,10,19,3,4,1,4,0,0,3.57,3.56,2.01,3.75,3.66,2.1,1.8,1.97,1.83,2.03,3.79,3.7,1.93,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-18_LEEDS_EVERTON,EPL,2025-2026,2025-08-18,20:00,Leeds,Everton,1,0,H,0,0,D,,C Kavanagh,21,7,3,1,6,8,7,2,0,2,0,0,2.39,3.29,2.96,2.5,3.5,3.05,2.07,1.72,2.16,1.75,2.34,3.21,3.16,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-22_WEST_HAM_CHELSEA,EPL,2025-2026,2025-08-22,20:00,West Ham,Chelsea,1,5,A,1,3,A,,M Oliver,12,12,4,7,7,10,7,5,0,1,0,0,4.68,3.88,1.71,5.0,4.0,1.76,1.72,2.09,1.77,2.15,4.75,3.82,1.72,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-23_MAN_CITY_TOTTENHAM,EPL,2025-2026,2025-08-23,12:30,Man City,Tottenham,0,2,A,0,2,A,,P Bankes,10,12,4,5,7,12,7,2,1,4,0,0,1.48,4.7,6.08,1.5,5.0,6.5,1.46,2.62,1.52,2.75,1.54,4.53,5.46,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-23_BOURNEMOUTH_WOLVES,EPL,2025-2026,2025-08-23,15:00,Bournemouth,Wolves,1,0,H,1,0,H,,T Bramall,14,6,4,1,13,16,8,3,2,4,0,1,1.79,3.88,4.24,1.82,4.0,4.5,1.72,2.06,1.79,2.1,1.8,3.74,4.32,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-23_BRENTFORD_ASTON_VILLA,EPL,2025-2026,2025-08-23,15:00,Brentford,Aston Villa,1,0,H,1,0,H,,T Harrington,9,17,2,2,11,9,2,9,1,2,0,0,3.11,3.53,2.21,3.2,3.66,2.3,1.77,2.0,1.82,2.05,3.25,3.45,2.18,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-23_BURNLEY_SUNDERLAND,EPL,2025-2026,2025-08-23,15:00,Burnley,Sunderland,2,0,H,0,0,D,,M Salisbury,7,9,2,1,9,5,4,3,0,1,0,0,2.25,3.16,3.42,2.3,3.25,3.6,2.26,1.6,2.32,1.64,2.38,3.11,3.22,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-23_ARSENAL_LEEDS,EPL,2025-2026,2025-08-23,17:30,Arsenal,Leeds,5,0,H,2,0,H,,J Gillett,18,3,5,1,8,11,2,2,0,2,0,0,1.27,5.93,10.61,1.29,6.25,12.0,1.55,2.38,1.63,2.5,1.33,5.36,8.94,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-24_CRYSTAL_PALACE_NOTTM_FOREST,EPL,2025-2026,2025-08-24,14:00,Crystal Palace,Nott'm Forest,1,1,D,1,0,H,,A Taylor,8,9,4,1,11,11,1,3,3,3,0,0,2.35,3.26,3.07,2.4,3.3,3.2,2.05,1.73,2.15,1.78,2.39,3.24,3.06,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-24_EVERTON_BRIGHTON,EPL,2025-2026,2025-08-24,14:00,Everton,Brighton,2,0,H,1,0,H,,S Attwell,11,13,3,4,7,15,2,2,4,3,0,0,3.08,3.3,2.32,3.25,3.4,2.4,2.01,1.76,2.1,1.8,2.9,3.34,2.43,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-24_FULHAM_MAN_UNITED,EPL,2025-2026,2025-08-24,16:30,Fulham,Man United,1,1,D,0,0,D,,C Kavanagh,13,10,4,3,12,10,9,6,1,1,0,0,3.27,3.53,2.13,3.35,3.65,2.2,1.77,1.99,1.8,2.07,3.45,3.51,2.08,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-25_NEWCASTLE_LIVERPOOL,EPL,2025-2026,2025-08-25,20:00,Newcastle,Liverpool,2,3,A,0,1,A,,S Hooper,10,5,3,4,17,15,7,1,2,3,1,0,3.3,3.83,2.02,3.45,4.0,2.1,1.53,2.43,1.57,2.55,2.92,3.65,2.29,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-30_CHELSEA_FULHAM,EPL,2025-2026,2025-08-30,12:30,Chelsea,Fulham,2,0,H,1,0,H,,R Jones,13,11,6,3,11,17,6,4,2,2,0,0,1.55,4.35,5.6,1.57,4.5,6.0,1.67,2.16,1.71,2.22,1.67,3.93,5.03,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-30_MAN_UNITED_BURNLEY,EPL,2025-2026,2025-08-30,15:00,Man United,Burnley,3,2,H,1,0,H,,S Barrott,26,6,6,3,9,9,7,1,1,5,0,0,1.35,5.15,8.28,1.4,5.5,9.0,1.65,2.17,1.73,2.2,1.38,5.06,7.6,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-30_SUNDERLAND_BRENTFORD,EPL,2025-2026,2025-08-30,15:00,Sunderland,Brentford,2,1,H,0,0,D,,A Taylor,12,7,3,4,11,12,3,4,3,2,0,0,2.92,3.27,2.46,3.0,3.35,2.54,2.04,1.73,2.1,1.8,3.1,3.25,2.35,2026-01-18T00:47:53.374494Z
EPL_20252026_2025-08-30_TOTTENHAM_BOURNEMOUTH,EPL,2025-2026,2025-08-30,15:00,Tottenham,Bournemouth,0,1,A,0,1,A,,S Hooper,5,20,1,6,17,13,0,8,2,4,0,0,1.73,4.06,4.29,1.76,4.25,4.5,1.54,2.38,1.6,2.55,1.89,3.75,3.84,2026-01-18T00:47:53.374494Z
